"id","CTR"
6478,0.0274958075974544
3956,0.199344112551923
6257,-0.144713440561678
9546,0.0608815050854934
1163,0.243458029533307
7754,0.466418699374814
8269,0.403793315024542
7324,0.411687352036792
8592,-0.0938249821262526
1782,0.119107402550622
8993,0.174742945598687
2129,0.434142556932277
8300,0.257882048522475
1625,0.54542478830247
4291,NA
3205,0.219261804734459
6808,0.275354289108012
3732,0.518054664402125
6660,-0.0467422521428776
2695,NA
9638,0.420229087389615
5478,0.0198512524018266
6763,0.200545170097812
5264,0.48718877605605
1577,-0.00726946392101401
8474,0.0956712230255977
7961,0.115150931072032
1332,0.285961758143916
9633,0.170795603346026
7057,0.303672180733005
3677,0.0221396097921876
5898,0.566718165536119
9680,0.158405668507494
5623,NA
8410,NA
2621,-0.00772816369061337
6591,0.0789519008977286
8140,0.0308698059864887
4266,0.138618874894311
9333,NA
9563,0.291576955601501
7418,0.223316942291765
6923,0.229673008991919
3193,0.369142702273026
3469,0.0300612998461388
1386,0.124094128574299
3701,0.0975805552799125
1638,0.0852048701385252
4692,0.323537181493317
9789,NA
6988,0.0818698334771071
4516,NA
1256,0.142952192337913
4114,NA
5949,0.237030062084568
2361,-0.05902411831766
7614,0.166955627799993
2670,0.591158387214309
4658,-0.0239547506426169
6410,0.374549972611779
4837,0.412627526042648
4169,0.25170415054918
1187,0.284659565805558
4065,NA
8126,0.270213301515615
3481,0.320217386906459
9426,-0.00447553877841885
6405,0.521678191648735
9233,0.420759953182534
2415,NA
6254,0.15795868350669
1886,NA
8085,NA
6109,0.226266999580999
1570,0.295841482706727
7681,0.311228338251141
6247,0.0402141057791213
7983,0.280246240619072
5166,NA
2180,0.179895907644914
7708,0.134599744722575
4327,0.412873643643623
2373,0.0562242590226367
1673,0.207811208501197
6316,0.35577790010557
2592,NA
9030,0.165167935943434
6224,0.343877012332466
2480,NA
1160,0.228233079226566
7831,0.177243845462819
4441,0.0462220842747139
5350,0.0965761980907908
8149,NA
7470,NA
7245,0.211331544535763
5519,0.213671393153285
8296,0.255022233702692
6465,NA
9011,0.17248500399314
3472,0.2685330253525
2548,0.155701276614619
8557,NA
9475,NA
2731,0.19703727236898
5913,0.143410798881272
8169,NA
7537,0.365718434762479
4003,0.253705029263612
8814,0.352863013851849
2032,0.413691555546586
4947,0.227675348595142
6704,0.167826284639608
2458,0.300073519176341
7967,0.242339156529732
4095,0.256067045342918
7609,0.0133774912809944
9532,0.174398998406232
9367,0.108803590460701
8756,0.138089927966922
6573,0.163646611361567
3249,-0.0769370388632682
1422,0.0952085494737787
2643,NA
6555,0.0833717081263072
4367,NA
6752,0.090485918804333
1617,0.0174124269786238
9120,0.22964902557476
4322,0.17636248256034
5722,0.149365154991446
1062,0.232946883767283
4987,0.135719046638872
4439,0.103115910787849
5116,0.0165131306119744
3555,0.152780597795643
6498,0.430855161915526
5060,0.110231640791687
1647,0.201772206706549
5616,NA
8359,0.208839934205888
1138,0.0722508026202855
6569,0.433792594910127
3793,0.202304924567819
6576,0.379646013363749
8379,0.283572450836711
7964,0.0658906228188673
1943,0.272639341214989
